start_time,axis1,axis2,axis3,steps,lux
2012-04-17 20:06:00,498,1243,351,8,498
2012-04-17 20:07:00,2294,2834,1980,19,2294
2012-04-17 20:08:00,3771,6031,3528,28,3771
2012-04-17 20:09:00,2740,4375,2594,22,2740
2012-04-17 20:10:00,1586,2558,1409,19,1586
2012-04-17 20:11:00,1966,4235,3410,14,1966
2012-04-17 20:12:00,2466,4025,3544,25,2466
2012-04-17 20:13:00,3109,4769,5069,26,3109
2012-04-17 20:14:00,0,0,0,0,0
2012-04-17 20:15:00,222,470,346,3,222
2012-04-17 20:16:00,184,382,514,2,184
2012-04-17 20:17:00,0,46,212,0,0
2012-04-17 20:18:00,2361,3782,1991,22,2361
2012-04-17 20:19:00,3274,6303,5075,28,3274
2012-04-17 20:20:00,1558,3925,2623,19,1558
2012-04-17 20:21:00,956,1770,1223,7,956
2012-04-17 20:22:00,1954,3006,1716,22,1954
2012-04-17 20:23:00,1224,2086,1644,14,1224
2012-04-17 20:24:00,1631,2097,1409,13,1631
2012-04-17 20:25:00,536,2413,924,5,536
2012-04-17 20:26:00,588,1034,301,6,588
2012-04-17 20:27:00,401,924,342,5,401
2012-04-17 20:28:00,9,59,0,0,9
2012-04-17 20:29:00,403,921,403,5,403
2012-04-17 20:30:00,93,163,44,1,93
2012-04-17 20:31:00,450,887,339,3,450
2012-04-17 20:32:00,3,10,11,0,3
2012-04-17 20:33:00,4,0,6,1,4
2012-04-17 20:34:00,0,0,0,0,0
2012-04-17 20:35:00,0,0,0,0,0
2012-04-17 20:36:00,17,110,56,1,17
2012-04-17 20:37:00,490,730,683,6,490
2012-04-17 20:38:00,0,0,0,0,0
2012-04-17 20:39:00,0,0,0,0,0
2012-04-17 20:40:00,0,0,0,0,0
2012-04-17 20:41:00,0,0,0,0,0
2012-04-17 20:42:00,0,0,0,0,0
2012-04-17 20:43:00,0,0,0,0,0
2012-04-17 20:44:00,0,0,0,0,0
2012-04-17 20:45:00,0,0,0,0,0
2012-04-17 20:46:00,0,0,0,0,0
2012-04-17 20:47:00,0,0,0,0,0
2012-04-17 20:48:00,0,0,0,0,0
2012-04-17 20:49:00,0,0,0,0,0
2012-04-17 20:50:00,0,0,0,0,0
2012-04-17 20:51:00,26,115,0,0,26
2012-04-17 20:52:00,0,0,0,0,0
2012-04-17 20:53:00,0,0,0,0,0
2012-04-17 20:54:00,0,0,0,0,0
2012-04-17 20:55:00,0,0,0,0,0
2012-04-17 20:56:00,0,0,0,0,0
2012-04-17 20:57:00,1453,3031,1356,19,1453
2012-04-17 20:58:00,350,422,197,4,350
2012-04-17 20:59:00,0,0,0,0,0
2012-04-17 21:00:00,286,257,26,5,286
2012-04-17 21:01:00,1509,2401,2288,13,1509
2012-04-17 21:02:00,0,0,0,0,0
2012-04-17 21:03:00,0,0,0,0,0
2012-04-17 21:04:00,0,0,0,0,0
2012-04-17 21:05:00,0,0,0,0,0
2012-04-17 21:06:00,0,0,0,0,0
2012-04-17 21:07:00,0,0,0,0,0
2012-04-17 21:08:00,0,0,0,0,0
2012-04-17 21:09:00,0,0,0,0,0
2012-04-17 21:10:00,0,0,0,0,0
2012-04-17 21:11:00,0,0,0,0,0
2012-04-17 21:12:00,0,0,0,0,0
2012-04-17 21:13:00,0,0,0,0,0
2012-04-17 21:14:00,0,0,0,0,0
2012-04-17 21:15:00,0,0,0,0,0
2012-04-17 21:16:00,0,0,0,0,0
2012-04-17 21:17:00,0,0,0,0,0
2012-04-17 21:18:00,0,0,0,0,0
2012-04-17 21:19:00,0,0,0,0,0
2012-04-17 21:20:00,0,0,0,0,0
2012-04-17 21:21:00,0,0,0,0,0
2012-04-17 21:22:00,0,0,0,0,0
2012-04-17 21:23:00,0,0,0,0,0
2012-04-17 21:24:00,0,0,0,0,0
2012-04-17 21:25:00,0,0,0,0,0
2012-04-17 21:26:00,0,0,0,0,0
2012-04-17 21:27:00,0,0,0,0,0
2012-04-17 21:28:00,0,0,0,0,0
2012-04-17 21:29:00,897,1988,2148,9,897
2012-04-17 21:30:00,0,0,0,0,0
2012-04-17 21:31:00,527,592,77,4,527
2012-04-17 21:32:00,0,0,0,0,0
2012-04-17 21:33:00,0,0,0,0,0
2012-04-17 21:34:00,0,0,0,0,0
2012-04-17 21:35:00,0,0,0,0,0
2012-04-17 21:36:00,0,0,0,0,0
2012-04-17 21:37:00,0,0,0,0,0
2012-04-17 21:38:00,0,0,0,0,0
2012-04-17 21:39:00,0,0,0,0,0
2012-04-17 21:40:00,0,0,0,0,0
2012-04-17 21:41:00,0,0,0,0,0
2012-04-17 21:42:00,0,0,0,0,0
2012-04-17 21:43:00,0,0,0,0,0
2012-04-17 21:44:00,780,1424,1250,8,780
2012-04-17 21:45:00,0,0,0,0,0
2012-04-17 21:46:00,0,0,0,0,0
2012-04-17 21:47:00,0,0,0,0,0
2012-04-17 21:48:00,0,0,0,0,0
2012-04-17 21:49:00,0,0,0,0,0
2012-04-17 21:50:00,0,0,0,0,0
2012-04-17 21:51:00,0,0,0,0,0
2012-04-17 21:52:00,0,0,0,0,0
2012-04-17 21:53:00,0,0,0,0,0
2012-04-17 21:54:00,0,0,0,0,0
2012-04-17 21:55:00,0,0,0,0,0
2012-04-17 21:56:00,0,0,0,0,0
2012-04-17 21:57:00,0,0,0,0,0
2012-04-17 21:58:00,0,0,0,0,0
2012-04-17 21:59:00,675,1162,1011,5,675
2012-04-17 22:00:00,0,0,0,0,0
2012-04-17 22:01:00,0,0,0,0,0
2012-04-17 22:02:00,0,0,0,0,0
2012-04-17 22:03:00,0,0,0,0,0
2012-04-17 22:04:00,0,0,0,0,0
2012-04-17 22:05:00,0,0,0,0,0
2012-04-17 22:06:00,0,0,0,0,0
2012-04-17 22:07:00,0,0,0,0,0
2012-04-17 22:08:00,0,0,0,0,0
2012-04-17 22:09:00,0,0,0,0,0
