start_time,axis1,axis2,axis3,steps
2015-02-08 21:06:00,3198,2974,3017,26
2015-02-08 21:07:00,1003,1120,1770,33
2015-02-08 21:08:00,2784,1593,2236,28
2015-02-08 21:09:00,3809,2017,3535,19
2015-02-08 21:10:00,5140,3215,4587,24
2015-02-08 21:11:00,2772,2140,2560,33
2015-02-08 21:12:00,3455,2103,2997,32
2015-02-08 21:13:00,9486,3753,5923,32
2015-02-08 21:14:00,1221,1399,2573,9
2015-02-08 21:15:00,1072,1727,1643,10
2015-02-08 21:16:00,4069,5761,6323,27
2015-02-08 21:17:00,4347,3941,4110,27
2015-02-08 21:18:00,4375,3561,4237,27
2015-02-08 21:19:00,6390,5639,6101,31
2015-02-08 21:20:00,5087,3033,4685,28
2015-02-08 21:21:00,4715,3038,3831,34
2015-02-08 21:22:00,4083,2472,4643,29
2015-02-08 21:23:00,3054,3538,4138,29
2015-02-08 21:24:00,5121,4017,5289,31
2015-02-08 21:25:00,7629,4987,7316,31
2015-02-08 21:26:00,2881,1031,1460,22
2015-02-08 21:27:00,213,132,234,1
2015-02-08 21:28:00,197,570,1054,2
2015-02-08 21:29:00,87,150,142,2
2015-02-08 21:30:00,11,29,298,0
2015-02-08 21:31:00,1316,1575,1618,6
2015-02-08 21:32:00,958,1543,1115,6
2015-02-08 21:33:00,307,695,526,2
2015-02-08 21:34:00,309,552,274,1
2015-02-08 21:35:00,654,1306,1169,4
2015-02-08 21:36:00,378,774,882,3
2015-02-08 21:37:00,100,1026,475,2
2015-02-08 21:38:00,203,464,207,1
2015-02-08 21:39:00,656,310,485,2
2015-02-08 21:40:00,0,91,33,0
2015-02-08 21:41:00,162,546,743,4
2015-02-08 21:42:00,0,341,58,0
2015-02-08 21:43:00,26,327,260,1
2015-02-08 21:44:00,34,263,635,1
2015-02-08 21:45:00,242,358,311,2
2015-02-08 21:46:00,0,0,0,0
2015-02-08 21:47:00,0,0,0,0
2015-02-08 21:48:00,0,0,0,0
2015-02-08 21:49:00,0,8,0,0
2015-02-08 21:50:00,0,32,0,0
2015-02-08 21:51:00,26,238,185,0
2015-02-08 21:52:00,0,57,14,0
2015-02-08 21:53:00,9,385,194,1
2015-02-08 21:54:00,0,0,2,0
2015-02-08 21:55:00,2317,2213,3859,25
2015-02-08 21:56:00,4520,2413,2781,21
2015-02-08 21:57:00,1320,1056,1154,9
